"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/19/2014 22:06:34:325 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""] / count patches"
"216","""PD""","0.23","0.5","1","0","""moore_r=3""","true","500","0.486"
"226","""PD""","0.25","0.5","1","0","""moore_r=1""","true","500","0.4904"
"227","""PD""","0.25","0.5","1","0","""moore_r=1""","true","500","0.5104"
"228","""PD""","0.25","0.5","1","0","""moore_r=1""","true","500","0.4936"
"229","""PD""","0.25","0.5","1","0","""von neumann_r=1""","true","500","0.5136"
"230","""PD""","0.25","0.5","1","0","""von neumann_r=1""","true","500","0.5076"
"231","""PD""","0.25","0.5","1","0","""von neumann_r=1""","true","500","0.5136"
"224","""PD""","0.24","0.5","1","0","""moore_r=3""","true","500","0.4888"
"223","""PD""","0.24","0.5","1","0","""moore_r=3""","true","500","0.4908"
"225","""PD""","0.24","0.5","1","0","""moore_r=3""","true","500","0.506"
"235","""PD""","0.26","0.5","1","0","""moore_r=1""","true","500","0.5116"
"236","""PD""","0.26","0.5","1","0","""moore_r=1""","true","500","0.5212"
"237","""PD""","0.26","0.5","1","0","""moore_r=1""","true","500","0.5092"
"238","""PD""","0.26","0.5","1","0","""von neumann_r=1""","true","500","0.5404"
"239","""PD""","0.26","0.5","1","0","""von neumann_r=1""","true","500","0.542"
"240","""PD""","0.26","0.5","1","0","""von neumann_r=1""","true","500","0.5472"
"232","""PD""","0.25","0.5","1","0","""moore_r=3""","true","500","0.506"
"233","""PD""","0.25","0.5","1","0","""moore_r=3""","true","500","0.5004"
"234","""PD""","0.25","0.5","1","0","""moore_r=3""","true","500","0.4932"
"244","""PD""","0.27","0.5","1","0","""moore_r=1""","true","500","0.4868"
"245","""PD""","0.27","0.5","1","0","""moore_r=1""","true","500","0.4888"
"246","""PD""","0.27","0.5","1","0","""moore_r=1""","true","500","0.4912"
"247","""PD""","0.27","0.5","1","0","""von neumann_r=1""","true","500","0.5404"
"241","""PD""","0.26","0.5","1","0","""moore_r=3""","true","500","0.4964"
"248","""PD""","0.27","0.5","1","0","""von neumann_r=1""","true","500","0.5276"
"249","""PD""","0.27","0.5","1","0","""von neumann_r=1""","true","500","0.5472"
"242","""PD""","0.26","0.5","1","0","""moore_r=3""","true","500","0.5008"
"243","""PD""","0.26","0.5","1","0","""moore_r=3""","true","500","0.5076"
"253","""PD""","0.28","0.5","1","0","""moore_r=1""","true","500","0.4884"
"254","""PD""","0.28","0.5","1","0","""moore_r=1""","true","500","0.5108"
"255","""PD""","0.28","0.5","1","0","""moore_r=1""","true","500","0.506"
"256","""PD""","0.28","0.5","1","0","""von neumann_r=1""","true","500","0.558"
"257","""PD""","0.28","0.5","1","0","""von neumann_r=1""","true","500","0.5576"
"258","""PD""","0.28","0.5","1","0","""von neumann_r=1""","true","500","0.5548"
"250","""PD""","0.27","0.5","1","0","""moore_r=3""","true","500","0.5008"
"252","""PD""","0.27","0.5","1","0","""moore_r=3""","true","500","0.4752"
"251","""PD""","0.27","0.5","1","0","""moore_r=3""","true","500","0.4956"
"262","""PD""","0.29","0.5","1","0","""moore_r=1""","true","500","0.5044"
"263","""PD""","0.29","0.5","1","0","""moore_r=1""","true","500","0.4964"
"264","""PD""","0.29","0.5","1","0","""moore_r=1""","true","500","0.5016"
"265","""PD""","0.29","0.5","1","0","""von neumann_r=1""","true","500","0.5492"
"266","""PD""","0.29","0.5","1","0","""von neumann_r=1""","true","500","0.5212"
"267","""PD""","0.29","0.5","1","0","""von neumann_r=1""","true","500","0.54"
"259","""PD""","0.28","0.5","1","0","""moore_r=3""","true","500","0.4996"
"261","""PD""","0.28","0.5","1","0","""moore_r=3""","true","500","0.4744"
"260","""PD""","0.28","0.5","1","0","""moore_r=3""","true","500","0.5004"
"271","""PD""","0.3","0.5","1","0","""moore_r=1""","true","500","0.5008"
"272","""PD""","0.3","0.5","1","0","""moore_r=1""","true","500","0.502"
"273","""PD""","0.3","0.5","1","0","""moore_r=1""","true","500","0.5092"
"274","""PD""","0.3","0.5","1","0","""von neumann_r=1""","true","500","0.5492"
"268","""PD""","0.29","0.5","1","0","""moore_r=3""","true","500","0.5152"
"275","""PD""","0.3","0.5","1","0","""von neumann_r=1""","true","500","0.5372"
"276","""PD""","0.3","0.5","1","0","""von neumann_r=1""","true","500","0.5388"
"269","""PD""","0.29","0.5","1","0","""moore_r=3""","true","500","0.508"
"270","""PD""","0.29","0.5","1","0","""moore_r=3""","true","500","0.492"
"280","""PD""","0.31","0.5","1","0","""moore_r=1""","true","500","0.498"
"281","""PD""","0.31","0.5","1","0","""moore_r=1""","true","500","0.5044"
"282","""PD""","0.31","0.5","1","0","""moore_r=1""","true","500","0.5064"
"283","""PD""","0.31","0.5","1","0","""von neumann_r=1""","true","500","0.54"
"284","""PD""","0.31","0.5","1","0","""von neumann_r=1""","true","500","0.5468"
"285","""PD""","0.31","0.5","1","0","""von neumann_r=1""","true","500","0.536"
"277","""PD""","0.3","0.5","1","0","""moore_r=3""","true","500","0.4964"
"278","""PD""","0.3","0.5","1","0","""moore_r=3""","true","500","0.5028"
"279","""PD""","0.3","0.5","1","0","""moore_r=3""","true","500","0.4952"
"289","""PD""","0.32","0.5","1","0","""moore_r=1""","true","500","0.4928"
"290","""PD""","0.32","0.5","1","0","""moore_r=1""","true","500","0.4972"
"291","""PD""","0.32","0.5","1","0","""moore_r=1""","true","500","0.4808"
"292","""PD""","0.32","0.5","1","0","""von neumann_r=1""","true","500","0.5508"
"293","""PD""","0.32","0.5","1","0","""von neumann_r=1""","true","500","0.5564"
"294","""PD""","0.32","0.5","1","0","""von neumann_r=1""","true","500","0.55"
"286","""PD""","0.31","0.5","1","0","""moore_r=3""","true","500","0.5052"
"288","""PD""","0.31","0.5","1","0","""moore_r=3""","true","500","0.5016"
"287","""PD""","0.31","0.5","1","0","""moore_r=3""","true","500","0.5084"
"298","""PD""","0.33","0.5","1","0","""moore_r=1""","true","500","0.5104"
"299","""PD""","0.33","0.5","1","0","""moore_r=1""","true","500","0.5032"
"300","""PD""","0.33","0.5","1","0","""moore_r=1""","true","500","0.4892"
"301","""PD""","0.33","0.5","1","0","""von neumann_r=1""","true","500","0.5352"
"302","""PD""","0.33","0.5","1","0","""von neumann_r=1""","true","500","0.5272"
"295","""PD""","0.32","0.5","1","0","""moore_r=3""","true","500","0.5"
"296","""PD""","0.32","0.5","1","0","""moore_r=3""","true","500","0.4968"
"303","""PD""","0.33","0.5","1","0","""von neumann_r=1""","true","500","0.526"
"297","""PD""","0.32","0.5","1","0","""moore_r=3""","true","500","0.514"
"307","""PD""","0.34","0.5","1","0","""moore_r=1""","true","500","0.5108"
"308","""PD""","0.34","0.5","1","0","""moore_r=1""","true","500","0.5104"
"309","""PD""","0.34","0.5","1","0","""moore_r=1""","true","500","0.4964"
"310","""PD""","0.34","0.5","1","0","""von neumann_r=1""","true","500","0.5424"
"311","""PD""","0.34","0.5","1","0","""von neumann_r=1""","true","500","0.546"
"312","""PD""","0.34","0.5","1","0","""von neumann_r=1""","true","500","0.5464"
"304","""PD""","0.33","0.5","1","0","""moore_r=3""","true","500","0.4892"
"305","""PD""","0.33","0.5","1","0","""moore_r=3""","true","500","0.506"
"306","""PD""","0.33","0.5","1","0","""moore_r=3""","true","500","0.4964"
"316","""PD""","0.35","0.5","1","0","""moore_r=1""","true","500","0.5076"
"317","""PD""","0.35","0.5","1","0","""moore_r=1""","true","500","0.4984"
"318","""PD""","0.35","0.5","1","0","""moore_r=1""","true","500","0.5084"
"319","""PD""","0.35","0.5","1","0","""von neumann_r=1""","true","500","0.5732"
"320","""PD""","0.35","0.5","1","0","""von neumann_r=1""","true","500","0.5448"
"313","""PD""","0.34","0.5","1","0","""moore_r=3""","true","500","0.49"
"321","""PD""","0.35","0.5","1","0","""von neumann_r=1""","true","500","0.5544"
"314","""PD""","0.34","0.5","1","0","""moore_r=3""","true","500","0.5072"
"315","""PD""","0.34","0.5","1","0","""moore_r=3""","true","500","0.4816"
"325","""PD""","0.36","0.5","1","0","""moore_r=1""","true","500","0.4884"
"326","""PD""","0.36","0.5","1","0","""moore_r=1""","true","500","0.4988"
"327","""PD""","0.36","0.5","1","0","""moore_r=1""","true","500","0.4956"
"328","""PD""","0.36","0.5","1","0","""von neumann_r=1""","true","500","0.5468"
"329","""PD""","0.36","0.5","1","0","""von neumann_r=1""","true","500","0.5512"
"330","""PD""","0.36","0.5","1","0","""von neumann_r=1""","true","500","0.552"
"324","""PD""","0.35","0.5","1","0","""moore_r=3""","true","500","0.5024"
"322","""PD""","0.35","0.5","1","0","""moore_r=3""","true","500","0.494"
"323","""PD""","0.35","0.5","1","0","""moore_r=3""","true","500","0.5024"
"334","""PD""","0.37","0.5","1","0","""moore_r=1""","true","500","0.492"
"335","""PD""","0.37","0.5","1","0","""moore_r=1""","true","500","0.4808"
"336","""PD""","0.37","0.5","1","0","""moore_r=1""","true","500","0.5008"
