"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/17/2014 23:21:36:759 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""]"
"199","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","906","0"
"197","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","971","0"
"198","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","1000","5"
"200","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","1000","6"
"202","""PD""","0.16","0.01","1","0","""moore_r=3""","true","810","0"
"201","""PD""","0.16","0.01","1","0","""moore_r=3""","true","1000","33"
"204","""PD""","0.16","0.01","1","0","""moore_r=3""","true","1000","19"
"203","""PD""","0.16","0.01","1","0","""moore_r=3""","true","1000","53"
"208","""PD""","0.16","0.01","1","0","""moore_r=3""","true","702","0"
"207","""PD""","0.16","0.01","1","0","""moore_r=3""","true","761","0"
"205","""PD""","0.16","0.01","1","0","""moore_r=3""","true","981","0"
"206","""PD""","0.16","0.01","1","0","""moore_r=3""","true","1000","84"
"211","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","24"
"212","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","115"
"213","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","151"
"214","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","132"
"215","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","76"
"216","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","75"
"217","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","178"
"218","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","204"
"219","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","158"
"220","""PD""","0.17","0.01","1","0","""moore_r=1""","true","1000","71"
"221","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","1000","4"
"222","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","1000","10"
"223","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","892","0"
"224","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","862","0"
"226","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","1000","12"
"225","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","979","0"
"227","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","981","0"
"209","""PD""","0.16","0.01","1","0","""moore_r=3""","true","1000","84"
"228","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","1000","14"
"210","""PD""","0.16","0.01","1","0","""moore_r=3""","true","1000","38"
"229","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","841","0"
"230","""PD""","0.17","0.01","1","0","""von neumann_r=1""","true","1000","4"
"233","""PD""","0.17","0.01","1","0","""moore_r=3""","true","558","0"
"231","""PD""","0.17","0.01","1","0","""moore_r=3""","true","616","0"
"232","""PD""","0.17","0.01","1","0","""moore_r=3""","true","783","0"
"234","""PD""","0.17","0.01","1","0","""moore_r=3""","true","1000","50"
"235","""PD""","0.17","0.01","1","0","""moore_r=3""","true","813","0"
"236","""PD""","0.17","0.01","1","0","""moore_r=3""","true","884","0"
"237","""PD""","0.17","0.01","1","0","""moore_r=3""","true","821","0"
"241","""PD""","0.18","0.01","1","0","""moore_r=1""","true","1000","18"
"238","""PD""","0.17","0.01","1","0","""moore_r=3""","true","677","0"
"242","""PD""","0.18","0.01","1","0","""moore_r=1""","true","1000","22"
"239","""PD""","0.17","0.01","1","0","""moore_r=3""","true","617","0"
"244","""PD""","0.18","0.01","1","0","""moore_r=1""","true","1000","92"
"243","""PD""","0.18","0.01","1","0","""moore_r=1""","true","966","0"
"245","""PD""","0.18","0.01","1","0","""moore_r=1""","true","1000","19"
"246","""PD""","0.18","0.01","1","0","""moore_r=1""","true","1000","44"
"248","""PD""","0.18","0.01","1","0","""moore_r=1""","true","926","0"
"247","""PD""","0.18","0.01","1","0","""moore_r=1""","true","1000","60"
"249","""PD""","0.18","0.01","1","0","""moore_r=1""","true","1000","39"
"250","""PD""","0.18","0.01","1","0","""moore_r=1""","true","1000","77"
"251","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","974","0"
"252","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","1000","37"
"253","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","945","0"
"254","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","883","0"
"256","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","876","0"
"255","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","932","0"
"258","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","777","0"
"259","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","801","0"
"240","""PD""","0.17","0.01","1","0","""moore_r=3""","true","1000","10"
"257","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","975","0"
"260","""PD""","0.18","0.01","1","0","""von neumann_r=1""","true","778","0"
"261","""PD""","0.18","0.01","1","0","""moore_r=3""","true","429","0"
"263","""PD""","0.18","0.01","1","0","""moore_r=3""","true","666","0"
"262","""PD""","0.18","0.01","1","0","""moore_r=3""","true","760","0"
"265","""PD""","0.18","0.01","1","0","""moore_r=3""","true","436","0"
"264","""PD""","0.18","0.01","1","0","""moore_r=3""","true","913","0"
"266","""PD""","0.18","0.01","1","0","""moore_r=3""","true","753","0"
"268","""PD""","0.18","0.01","1","0","""moore_r=3""","true","674","0"
"267","""PD""","0.18","0.01","1","0","""moore_r=3""","true","692","0"
"269","""PD""","0.18","0.01","1","0","""moore_r=3""","true","729","0"
"272","""PD""","0.19","0.01","1","0","""moore_r=1""","true","1000","6"
"271","""PD""","0.19","0.01","1","0","""moore_r=1""","true","985","0"
"273","""PD""","0.19","0.01","1","0","""moore_r=1""","true","1000","33"
"275","""PD""","0.19","0.01","1","0","""moore_r=1""","true","820","0"
"274","""PD""","0.19","0.01","1","0","""moore_r=1""","true","1000","11"
"276","""PD""","0.19","0.01","1","0","""moore_r=1""","true","1000","8"
"277","""PD""","0.19","0.01","1","0","""moore_r=1""","true","1000","69"
"278","""PD""","0.19","0.01","1","0","""moore_r=1""","true","1000","37"
"279","""PD""","0.19","0.01","1","0","""moore_r=1""","true","1000","10"
"281","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","789","0"
"280","""PD""","0.19","0.01","1","0","""moore_r=1""","true","861","0"
"282","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","795","0"
"284","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","995","0"
"283","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","1000","1"
"285","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","950","0"
"287","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","746","0"
"286","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","841","0"
"288","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","959","0"
"290","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","691","0"
"289","""PD""","0.19","0.01","1","0","""von neumann_r=1""","true","708","0"
"270","""PD""","0.18","0.01","1","0","""moore_r=3""","true","1000","9"
"293","""PD""","0.19","0.01","1","0","""moore_r=3""","true","487","0"
"291","""PD""","0.19","0.01","1","0","""moore_r=3""","true","603","0"
"292","""PD""","0.19","0.01","1","0","""moore_r=3""","true","655","0"
"294","""PD""","0.19","0.01","1","0","""moore_r=3""","true","473","0"
"296","""PD""","0.19","0.01","1","0","""moore_r=3""","true","531","0"
"295","""PD""","0.19","0.01","1","0","""moore_r=3""","true","675","0"
"298","""PD""","0.19","0.01","1","0","""moore_r=3""","true","695","0"
"299","""PD""","0.19","0.01","1","0","""moore_r=3""","true","452","0"
"301","""PD""","0.2","0.01","1","0","""moore_r=1""","true","871","0"
"297","""PD""","0.19","0.01","1","0","""moore_r=3""","true","867","0"
"302","""PD""","0.2","0.01","1","0","""moore_r=1""","true","771","0"
"305","""PD""","0.2","0.01","1","0","""moore_r=1""","true","865","0"
"303","""PD""","0.2","0.01","1","0","""moore_r=1""","true","877","0"
"304","""PD""","0.2","0.01","1","0","""moore_r=1""","true","960","0"
"308","""PD""","0.2","0.01","1","0","""moore_r=1""","true","717","0"
"306","""PD""","0.2","0.01","1","0","""moore_r=1""","true","999","0"
"307","""PD""","0.2","0.01","1","0","""moore_r=1""","true","805","0"
"310","""PD""","0.2","0.01","1","0","""moore_r=1""","true","1000","6"
"309","""PD""","0.2","0.01","1","0","""moore_r=1""","true","1000","5"
"311","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","849","0"
"312","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","1000","12"
"313","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","795","0"
"314","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","905","0"
"316","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","805","0"
"315","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","1000","8"
"300","""PD""","0.19","0.01","1","0","""moore_r=3""","true","796","0"
"318","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","865","0"
"319","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","1000","0"
"317","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","972","0"
"320","""PD""","0.2","0.01","1","0","""von neumann_r=1""","true","1000","4"
