"X.run.number.","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","X.step.","count.patches.with..strategy_current....C..","r","freq_c"
"3049",3047,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2478,0.428571428571429,0.9912
"3050",3050,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2483,0.428571428571429,0.9932
"3071",3059,"\"HD\"",0.3,0.01,1,0,"\"moore_r=3\"","true",1000,1920,0.428571428571429,0.768
"3072",3074,"\"HD\"",0.31,0.01,1,0,"\"von neumann_r=1\"","true",1000,2468,0.449275362318841,0.9872
"3073",3073,"\"HD\"",0.31,0.01,1,0,"\"von neumann_r=1\"","true",1000,2467,0.449275362318841,0.9868
"3074",3075,"\"HD\"",0.31,0.01,1,0,"\"von neumann_r=1\"","true",1000,2479,0.449275362318841,0.9916
"3075",3060,"\"HD\"",0.3,0.01,1,0,"\"moore_r=3\"","true",1000,1922,0.428571428571429,0.7688
"3076",3076,"\"HD\"",0.31,0.01,1,0,"\"von neumann_r=1\"","true",1000,2456,0.449275362318841,0.9824
"3077",3077,"\"HD\"",0.31,0.01,1,0,"\"von neumann_r=1\"","true",1000,2472,0.449275362318841,0.9888
"3078",3078,"\"HD\"",0.31,0.01,1,0,"\"von neumann_r=1\"","true",1000,2462,0.449275362318841,0.9848
"3079",3079,"\"HD\"",0.31,0.01,1,0,"\"von neumann_r=1\"","true",1000,2468,0.449275362318841,0.9872
"3080",3080,"\"HD\"",0.31,0.01,1,0,"\"von neumann_r=1\"","true",1000,2468,0.449275362318841,0.9872
"3100",3102,"\"HD\"",0.32,0.01,1,0,"\"von neumann_r=1\"","true",1000,2463,0.470588235294118,0.9852
"3101",3089,"\"HD\"",0.31,0.01,1,0,"\"moore_r=3\"","true",1000,1907,0.449275362318841,0.7628
"3103",3104,"\"HD\"",0.32,0.01,1,0,"\"von neumann_r=1\"","true",1000,2452,0.470588235294118,0.9808
"3104",3105,"\"HD\"",0.32,0.01,1,0,"\"von neumann_r=1\"","true",1000,2476,0.470588235294118,0.9904
"3105",3090,"\"HD\"",0.31,0.01,1,0,"\"moore_r=3\"","true",1000,1898,0.449275362318841,0.7592
"3106",3106,"\"HD\"",0.32,0.01,1,0,"\"von neumann_r=1\"","true",1000,2463,0.470588235294118,0.9852
"3107",3107,"\"HD\"",0.32,0.01,1,0,"\"von neumann_r=1\"","true",1000,2470,0.470588235294118,0.988
