"x","C","color","p1","x","D","color","p2"
"484","0.6768","105","true","484","0.3232","15","true"
"485","0.6904","105","true","485","0.3096","15","true"
"486","0.6964","105","true","486","0.3036","15","true"
"487","0.6892","105","true","487","0.3108","15","true"
"488","0.6964","105","true","488","0.3036","15","true"
"489","0.714","105","true","489","0.286","15","true"
"490","0.69","105","true","490","0.31","15","true"
"491","0.7104","105","true","491","0.2896","15","true"
"492","0.7024","105","true","492","0.2976","15","true"
"493","0.6836","105","true","493","0.3164","15","true"
"494","0.7032","105","true","494","0.2968","15","true"
"495","0.704","105","true","495","0.296","15","true"
"496","0.6956","105","true","496","0.3044","15","true"
"497","0.676","105","true","497","0.324","15","true"
"498","0.6824","105","true","498","0.3176","15","true"
"499","0.6904","105","true","499","0.3096","15","true"
"500","0.6804","105","true","500","0.3196","15","true"
"501","0.6948","105","true","501","0.3052","15","true"
"502","0.7004","105","true","502","0.2996","15","true"
"503","0.6888","105","true","503","0.3112","15","true"
"504","0.7096","105","true","504","0.2904","15","true"
"505","0.6904","105","true","505","0.3096","15","true"
"506","0.688","105","true","506","0.312","15","true"
"507","0.6988","105","true","507","0.3012","15","true"
"508","0.6916","105","true","508","0.3084","15","true"
"509","0.7108","105","true","509","0.2892","15","true"
"510","0.6848","105","true","510","0.3152","15","true"
"511","0.6876","105","true","511","0.3124","15","true"
"512","0.71","105","true","512","0.29","15","true"
"513","0.7024","105","true","513","0.2976","15","true"
"514","0.7","105","true","514","0.3","15","true"
"515","0.7128","105","true","515","0.2872","15","true"
"516","0.6856","105","true","516","0.3144","15","true"
"517","0.6944","105","true","517","0.3056","15","true"
"518","0.6964","105","true","518","0.3036","15","true"
"519","0.7024","105","true","519","0.2976","15","true"
"520","0.6908","105","true","520","0.3092","15","true"
"521","0.7084","105","true","521","0.2916","15","true"
"522","0.6908","105","true","522","0.3092","15","true"
"523","0.6872","105","true","523","0.3128","15","true"
"524","0.6872","105","true","524","0.3128","15","true"
"525","0.68","105","true","525","0.32","15","true"
"526","0.6984","105","true","526","0.3016","15","true"
"527","0.7016","105","true","527","0.2984","15","true"
"528","0.6952","105","true","528","0.3048","15","true"
"529","0.692","105","true","529","0.308","15","true"
"530","0.7076","105","true","530","0.2924","15","true"
"531","0.6908","105","true","531","0.3092","15","true"
"532","0.6936","105","true","532","0.3064","15","true"
"533","0.7196","105","true","533","0.2804","15","true"
"534","0.6788","105","true","534","0.3212","15","true"
"535","0.6892","105","true","535","0.3108","15","true"
"536","0.6912","105","true","536","0.3088","15","true"
"537","0.682","105","true","537","0.318","15","true"
"538","0.6892","105","true","538","0.3108","15","true"
"539","0.704","105","true","539","0.296","15","true"
"540","0.7004","105","true","540","0.2996","15","true"
"541","0.694","105","true","541","0.306","15","true"
"542","0.6972","105","true","542","0.3028","15","true"
"543","0.7076","105","true","543","0.2924","15","true"
"544","0.7064","105","true","544","0.2936","15","true"
"545","0.696","105","true","545","0.304","15","true"
"546","0.6992","105","true","546","0.3008","15","true"
"547","0.7072","105","true","547","0.2928","15","true"
"548","0.694","105","true","548","0.306","15","true"
"549","0.6792","105","true","549","0.3208","15","true"
"550","0.6944","105","true","550","0.3056","15","true"
"551","0.6752","105","true","551","0.3248","15","true"
"552","0.7004","105","true","552","0.2996","15","true"
"553","0.694","105","true","553","0.306","15","true"
"554","0.682","105","true","554","0.318","15","true"
"555","0.6876","105","true","555","0.3124","15","true"
"556","0.6848","105","true","556","0.3152","15","true"
"557","0.6892","105","true","557","0.3108","15","true"
"558","0.6904","105","true","558","0.3096","15","true"
"559","0.7144","105","true","559","0.2856","15","true"
"560","0.6912","105","true","560","0.3088","15","true"
"561","0.6868","105","true","561","0.3132","15","true"
"562","0.6916","105","true","562","0.3084","15","true"
"563","0.6988","105","true","563","0.3012","15","true"
"564","0.6868","105","true","564","0.3132","15","true"
"565","0.6808","105","true","565","0.3192","15","true"
"566","0.6744","105","true","566","0.3256","15","true"
"567","0.7016","105","true","567","0.2984","15","true"
"568","0.6936","105","true","568","0.3064","15","true"
"569","0.6916","105","true","569","0.3084","15","true"
"570","0.7088","105","true","570","0.2912","15","true"
"571","0.702","105","true","571","0.298","15","true"
"572","0.688","105","true","572","0.312","15","true"
"573","0.7132","105","true","573","0.2868","15","true"
"574","0.6956","105","true","574","0.3044","15","true"
"575","0.6924","105","true","575","0.3076","15","true"
"576","0.6944","105","true","576","0.3056","15","true"
"577","0.6852","105","true","577","0.3148","15","true"
"578","0.7032","105","true","578","0.2968","15","true"
"579","0.698","105","true","579","0.302","15","true"
"580","0.6896","105","true","580","0.3104","15","true"
"581","0.6864","105","true","581","0.3136","15","true"
"582","0.7052","105","true","582","0.2948","15","true"
"583","0.6824","105","true","583","0.3176","15","true"
"584","0.7076","105","true","584","0.2924","15","true"
"585","0.6924","105","true","585","0.3076","15","true"
"586","0.6924","105","true","586","0.3076","15","true"
"587","0.6916","105","true","587","0.3084","15","true"
